IMDB_id,TMDB_id,Title,year,duration,Rating,Votes,Genres,Overview
tt7160372,467244,The Zone of Interest,2023,105,7.4,79146,"Drama, History, War, History, Drama, War",Auschwitz commandant Rudolf Höss and his wife Hedwig strive to build a dream life for their family in a house and garden beside the camp.
,12445,Harry Potter and the Deathly Hallows: Part 2,2011,130,8.1,19897,"Fantasy, Adventure","Harry, Ron and Hermione continue their quest to vanquish the evil Voldemort once and for all. Just as things begin to look hopeless for the young wizards, Harry discovers a trio of magical objects that endow him with powers to rival Voldemort's formidable skills."
,282035,The Mummy,2017,110,5.5,6952,"Fantasy, Thriller, Action, Adventure, Horror","Though safely entombed in a crypt deep beneath the unforgiving desert, an ancient queen whose destiny was unjustly taken from her is awakened in our current day, bringing with her malevolence grown over millennia, and terrors that defy human comprehension."
,2062,Ratatouille,2007,111,7.8,16393,"Animation, Comedy, Family, Fantasy","Remy, a resident of Paris, appreciates good food and has quite a sophisticated palate. He would love to become a chef so he can create and enjoy culinary masterpieces to his heart's delight. The only problem is, Remy is a rat. When he winds up in the sewer beneath one of Paris' finest restaurants, the rodent gourmet finds himself ideally placed to realize his dream."
,869,Planet of the Apes,2001,120,5.7,3841,"Thriller, Science Fiction, Action, Adventure","After a spectacular crash-landing on an uncharted planet, brash astronaut Leo Davidson finds himself trapped in a savage world where talking apes dominate the human race. Desperate to find a way home, Leo must evade the invincible gorilla army led by Ruthless General Thade."
tt19853698,968441,Música,2024,91,6.6,2354,"Comedy, Music, Romance, Romance, Comedy, Music","A coming-of-age love story that follows an aspiring creator with synesthesia, who must come to terms with an uncertain future, while navigating the pressures of love, family, and his Brazilian culture in Newark, New Jersey."
,1027604,Princess Cursed in Time: Alchemist's Quest,2022,133,7.5,12,"Family, Fantasy, Comedy","It follows young alchemist Amélie as she acquires a magical power: partially influencing the flow of time. But she is split in time, and Amélie from the present meets Améliw from the past, who accompanies her every step of the way."
tt19864802,969492,Land of Bad,2024,113,6.9,16604,"Action, Thriller, Action, Thriller, War",A US Army special forces unit is ambushed during a mission to retrieve an intelligence asset and their only remaining hope lies with a remote Air Force drone operator assisting them through a brutal 48-hour battle for survival.
,127585,X-Men: Days of Future Past,2014,132,7.5,14820,"Action, Adventure, Science Fiction",The ultimate X-Men ensemble fights a war for the survival of the species across two time periods as they join forces with their younger selves in an epic battle that must change the past – to save our future.
tt21192142,,All of Us Strangers,2023,105,7.7,42000,"Drama, Fantasy, Romance",A screenwriter drawn back to his childhood home enters into a fledgling relationship with his downstairs neighbor while discovering a mysterious new way to heal from losing his parents 30 years ago.
,1700,Misery,1990,107,7.8,4398,"Drama, Thriller","After stalking and saving the life of her favorite fiction author in a car accident, his  manic obsessor holds him captive in her remote Colorado home then forces him to write back to life the popular literary character he killed off."
,16320,Serenity,2005,119,7.4,3329,"Science Fiction, Action, Adventure, Thriller","When the renegade crew of Serenity agrees to hide a fugitive on their ship, they find themselves in an action-packed battle between the relentless military might of a totalitarian regime who will destroy anything – or anyone – to get the girl back and the bloodthirsty creatures who roam the uncharted areas of space. But... the greatest danger of all may be on their ship."
,849509,Jade,2024,0,6,20,"Action, Thriller","Jade presents the story of a woman who comes between a powerful businessman and a gang leader in their search for a hard drive that could damage the operations of Interpol. Despite grieving for the brother she accidentally killed, the woman is required to use her unique set of skills to retrieve the drive and protect her brother's unborn child being carried by another woman."
